',',1,
/-,<null>,78,/-,2,
/+,<null>,6,/+,2,
/b,/b,2,b,27,mb,8,
b,b,896,bb,2,
bh,b,123,bh,93,bb,1,
b|ii,b,-1,
/c,/c,1,n,2,
/k,n,2,/k,1,
/n,n,232,/n,12,ng,9,nn,2,
n,n,3980,nn,64,
nx,n,516,nx,16,
e|n,n,-1,
/d,/d,5,nd,1,d,3,
/dx,/d,2,nd,56,d,155,/dx,17,ndx,4,q,16,
d,d,340,dd,2,
dx,d,1526,dh,11,dx,36,dd,1,q,186,
dxh,d,433,dh,22,dxh,10,dd,2,q,19,qh,2,
d|ii,d,-1,
/g,/g,3,ng,23,g,23,
g,g,1250,gg,1,
gh,g,7,gh,1,
j|ii,g,-1,
/j,/j,1,j,1,nj,1,
a,a,15616,e,523,<null>,-1769,
aa,a,1716,aa,1354,ar,4,<null>,-323,
ae,a,125,e,791,ae,89,<null>,-1,z,218,
aee,a,5,e,45,aa,4,ae,7,aee,25,ee,23,<null>,-1,z,5,zz,14,
ee,a,-1,e,1269,ee,340,ei,8,ay,3,<null>,-1,
e,e,1795,<null>,-1,
i,e,13,i,4418,y,11,<null>,-1,
ii,e,-1,ee,62,i,760,y,2,ii,243,ie,2,<null>,-1,
ai,ai,13,i,10,
au,au,23,ou,1,o,8,oo,3,ooo,1,
c,c,94,ch,56,
ch,c,10,ch,21,j,1,
k,c,13,k,3290,ck,2,kk,11,
kh,c,1,k,19,kh,3,
s|ii,c,-1,
j,j,399,jj,-1,
j|ee,j,-1,
cx,cx,2,gn,9,j/c,1,n,21,
dh,dh,3,
f,f,17,ph,1,
e|f,f,-1,
ph,ph,6,p,30,
h,h,1454,
e|c,h,-1,
hx,hx,1,h,2,
y|i,i,426,y,-1,
y|ii,i,3,y,-5,
a|i,i,-1,
y,y,2810,iy,18,
v|a|y|i,y,-1,
jh,jh,1,j,2,
k|ee,k,-1,
l,l,1524,ll,25,
lx,l,350,lx,6,
e|l,l,-1,
lxx,lxx,1,ilu,1,
lxxx,ilu,1,lxxx,1,iluu,1,
m,m,2966,n,-1,
e|m,m,-1,
o,o,589,<null>,-1,
oo,o,330,oo,68,oe,1,<null>,-1,
uu,oo,2,u,132,uu,42,<null>,-1,
p,p,1687,pp,3,
p|ii,p,-1,
r,r,3049,ru,132,
aa|r,r,-1,
rx,rx,1,iru,3,ri,2,r,4,
s|r,rx,1,iru,1,ri,1,
rxx,iru,1,rxx,1,iruu,1,r,1,
s,s,2268,z,-1,c,-1,
sh,s,181,sh,106,
sx,s,243,sh,129,sx,11,z,23,
e|s,s,-1,
s|e|d,z,-1,
t,t,1411,
th,t,15,th,4,
tx,t,-306,th,2040,tx,318,tt,-1,x,496,
txh,t,-9,th,62,txh,41,x,7,xh,2,
t|ii,t,-1,
u,u,2398,oo,24,<null>,-1,
v,u,14,v,2359,w,1258,vu,25,wu,24,
v|u,u,15,v,4,
v|uu,u,11,uu,2,
y|u,u,36,
y|uu,u,1,uu,1,
v|ii,v,-1,
d|a|b|l|i|v,w,-1,
d|a|b,w,-1,
k|y|uu,q,-1,
e|k|s,x,-1,
u|v|a,ua,1,
i|y,i,7,
